SMILE	label	Influence
Cc1cc(C)c2c(n1)sc1c2ncnc1N1CCN(C)CC1	2.568	58609.02656750908
C[C@H](COc1ccccc1)N[C@H](C)[C@@H](O)c1ccc(O)cc1	1.498	75937.54856182185
O=C1CN(N=Cc2ccc(-c3ccc([N+](=O)[O-])cc3)o2)C(O)=N1	1.456	69413.17494484225
CN1CCCN(C(=O)c2cc3ccccc3[nH]2)CC1	1.852	63215.88660721215
CC(=O)NC1CCC(NC(=O)c2cc(-c3cccs3)on2)CC1	2.276	50869.5702417476
O=C(N[C@H]1CC[C@H](NCCO)CC1)c1cc(-c2cccs2)on1	1.956	53658.1547729868
O=C(NC[C@H]1CCCCN1)c1cc(O)ccc1OCC(F)(F)F	2.178	86796.14712130201
C[C@@H](CC(=O)NCc1ccc(C(=O)O)cc1)[C@@H]1CCCO1	1.924	75487.72403730992
COC(=O)N1CCN(C(=O)c2cc3cc(OC)ccc3[nH]2)CC1	2.2	51067.37540716675
O=C(NNC(=O)c1cc(-c2cccs2)on1)NC1CC1	1.956	101311.74518696655
O=S(=O)(NC[C@@H](c1ccccc1)N1CCOCC1)c1cccnc1	3.27	71797.46659595342
COc1ccc(-c2nc(N3CCCCC3)nc(O)c2C#N)cc1	1.722	57791.61281835736
CC(C)(C)OC(=O)N[C@H](Cc1ccccc1)C(N)=O	1.084	83356.58940836633
CO[C@@H](C)C(=O)N[C@H]1CC[C@H](CNC(=O)c2cc(C)c(C)cn2)CC1	2.196	55390.460507561205
CCO[C@@H]1C[C@@H]1NC(=O)NC[C@@H](c1ccc(OC)cc1)N1CCCC1	2.014	74228.439567396
COCC[C@H](NC(=O)c1cc2cc(Cl)ccc2[nH]1)C(=O)O	3.456	67101.61976823283
O=C(C#Cc1ccc2c(c1)OCO2)Nc1ccc(-n2ccnc2)nc1	3.134	151314.99659864424
NC[C@@H]1CCCN(C(=O)C(=O)Nc2cccc(Cl)c2)C1	2.848	70911.87797008996
O=C(N[C@H](CO)c1ccccc1)N[C@@H]1CCN(Cc2ccccc2)C1	1.448	61121.1119829196
O=C(c1cc[nH]n1)N1CC[C@@]2(CCN(Cc3ccccc3)C2)C1	0.75	60621.16638921974
O=c1[nH]c2ccccc2n1CCCN1CCC[C@@H](CO)C1	2.252	110710.4764467713
CC[C@@H](F)CN(C)[C@@H]1CCN(C(=O)COCc2ccncc2)C1	2.778	54554.62113867112
COc1cccc(C(=O)NCCCNc2nccnc2F)c1	2.412	91118.1390803311
N#Cc1cc(S(=O)(=O)NCC2(c3ccccc3)COC2)ccc1F	2.896	91941.8863112235
Cc1ccnc(CN2CCC[C@@H](N(C)C(=O)c3ccncc3)CC2)n1	1.824	52560.53320019477
CN(C(=O)c1ccncc1)[C@H]1CCN(Cc2nnc(C3CC3)s2)C1	1.64	56658.07806891235
CC(C)Oc1cccc([C@@H](C)NC(=O)/C=C\CN2CCOCC2)c1	1.4	89286.46565603936
COc1ccc(NC(=O)c2cnn(-c3ccccc3F)c2)cn1	3.076	54493.62458425821
C=C(CC)CNC(=O)NC[C@@H](c1ccc(OC)cc1)N1CCOCC1	1.922	62714.65690863194
CN(C(=O)Cc1ccccc1)[C@@H]1CCN(CCc2ccnn2C)C1	3.14	66773.96138091048
O=C(COCc1ccncc1)N1CC[C@@H]2[C@H](CCN2C/C=C/Cl)C1	2.896	69298.78566740378
CSc1ccc(NC(=O)c2ccc(N3CCOCC3)nc2)cn1	3.004	60776.88233413799
Cc1ccc(-c2csc(NC(=O)CSCC(=O)O)n2)cc1	2.48	53079.84294696366
O=C(N[C@H]1CC[C@H](CNCCO)CC1)c1cc(-c2cccs2)on1	2.168	83330.77455386423
N[C@H]1CC[C@@H](C(=O)N2CCC(C(=O)c3ccc(Cl)cc3)CC2)C1	3.266	65430.53343718017
CNC[C@H](O)[C@H](C)C(=O)Nc1nc2ccc(OC)cc2s1	2.642	61524.8057338943
O=C(Nc1ccc2c(c1)C(=O)NCC2)N1CCN(CC2CC2)CC1	2.378	76134.13091605314
CO[C@H]1Cc2ccc(NC(=O)c3ccc(-n4ccnc4)nc3)cc2C1	2.426	69535.07278583467
O=C(Nc1cccc2cccnc21)[C@H]1CCn2ccnc2C1	2.698	76257.57854618202
CN(C(=O)Cc1ccccc1)[C@H]1CCN(CC[C@H]2CCCO2)C1	3.14	65151.1496237397
COCCCCN1CCN(C(=O)Nc2cccc(Cl)c2)CC1	2.404	51951.98240468386
O=C(COCc1ccccn1)N1CCC([C@@H]2CCCN2)CC1	2.162	96187.42735413038
