SMILE	label	Influence
CCCCN1Cc2c(nc3cc(-c4ccco4)nn3c2O)C1=O	1.548	25384.015251639852
Cc1cc(C)c2c(n1)sc1c2ncnc1N1CCN(C)CC1	2.568	58609.02656750908
COC(=O)[C@H]1[C@H]2CC[C@H](C[C@@H]1OC(=O)c1ccccc1)N2C	0.102	-6648.526729602636
Nc1nonc1/C(=N/O)Nc1ccc(F)c(Cl)c1	2.45	38246.78886325329
Cc1c[nH]c(/C=C2/C(=O)Nc3ccccc32)c1CCC(=O)O	1.04	16827.22845905998
COc1ccc2c3c1O[C@H]1[C@@H](O)C=C[C@@H]4[C@@H](C2)N(C)CC[C@]314	1.402	515.5874615295434
NC(=O)c1cccc(O[C@@H]2C[C@H]3CC[C@@H](C2)N3Cc2ccccc2)n1	1.436	-14751.516821413625
CN1[C@@H]2CC[C@H]1C[C@@H](OC(=O)[C@H](CO)c1ccccc1)C2	-0.076	99.86788309246185
C[C@H](COc1ccccc1)N[C@H](C)[C@@H](O)c1ccc(O)cc1	1.498	75937.54856182185
COc1ccc2c3c1O[C@@H]1[C@@H](O)C=C[C@@H]4[C@@H](C2)N(C)CC[C@]314	1.402	22154.161743741795
C[C@@H](c1ncncc1F)[C@@](O)(Cn1cncn1)c1ccc(F)cc1F	1.754	-36838.339136194634
N#C/N=C(\N)c1sc(Nc2ccccc2)nc1N	2.372	35347.84750844142
N#C[C@@H]1CCCN1C(=O)CNC12C[C@H]3C[C@H](CC(O)(C3)C1)C2	0.01	-939.1157554363381
CN1CCN2c3ncccc3Cc3ccccc3[C@@H]2C1	1.906	6032.994016656725
CN1[C@@H]2CC[C@H]1C[C@@H](OC(=O)[C@@H](O)c1ccccc1)C2	0.352	8167.224420974146
CN1[C@H]2CC[C@H]1CC(OC(=O)[C@@H](O)c1ccccc1)C2	0.352	14434.217184980771
CN1[C@@H]2CC[C@H]1CC(OC(=O)[C@@H](CO)c1ccccc1)C2	-0.076	-2739.825120157884
CN1[C@@H]2CC[C@H]1C[C@@H](OC(=O)[C@H](O)c1ccccc1)C2	0.352	182.84284381842008
CC(C)C[C@H](N)c1nnc(S(=O)(=O)Cc2ccc(F)cc2)o1	1.848	28698.375346633075
C[C@H](CCc1ccccc1)NC[C@H](O)c1ccc(O)c(C(N)=O)c1	0.206	-1962.537550203484
O=C1CN(N=Cc2ccc(-c3ccc([N+](=O)[O-])cc3)o2)C(O)=N1	1.456	69413.17494484225
COc1ccccc1CNC(=O)c1ccc2cnccc2n1	2.204	-2560.4571673577084
C[C@H](Oc1c(Cl)cccc1Cl)C1=NCCN1	1.898	43670.30324898604
CC(C)c1ccc2oc3nc(N)c(C(=O)O)cc3c(=O)c2c1	0.68	1628.6615778859268
O=S(=O)(Nc1nccs1)c1ccc(O)cc1	1.106	15769.012525406855
CCN(c1ccccc1)c1cc(NC)[n+](C)c(C)n1	1.956	-16245.096604239981
N#Cc1ccc(C(c2ccc(C#N)cc2)n2cncn2)cc1	2.336	9331.883031246209
O=C(NC1CCCC1)[C@H]1CCCN(S(=O)(=O)c2cccs2)C1	1.642	16885.242872267503
O=S(=O)(NC[C@@H](c1ccccc1)N1CCCC1)c1cccnc1	3.27	31629.84921305999
CN1[C@@H]2CC[C@@H]1C[C@@H](OC(=O)[C@H](CO)c1ccccc1)CC2	-0.076	1573.027297605182
O=C(c1cc2cc(Cl)ccc2[nH]1)N1CCCNCC1	2.002	-40142.898822108284
CCOc1ccc(NC(=O)C(=O)Nc2ccc(NC(C)=O)cc2)cc1	1.07	8199.766749825425
CN1CCCN(C(=O)c2cc3ccccc3[nH]2)CC1	1.852	63215.88660721215
O=S(=O)(Nc1nccs1)c1ccc2c(c1)OCCO2	0.888	-1253.6398061345026
N[C@H]1CC[C@H](NC(=O)c2cc(-c3cccs3)on2)CC1	1.956	-3417.347787878156
CC(=O)NC1CCC(NC(=O)c2cc(-c3cccs3)on2)CC1	2.276	50869.5702417476
NS(=O)(=O)c1ccc(CNc2ccccc2)cc1	2.332	23964.271589520285
C[C@H](C(=O)N1CCCc2ccccc2C1)N1C(=O)c2ccccc2C1=O	1.812	33683.74136027071
CS(=O)(=O)N1CC[C@H](NC(=O)NC23CC4CC(CC(C4)C2)C3)C1	0.28	6229.769127470903
CCc1cc(Cl)c(OC)c(C(=O)NC[C@H]2CCCN2CC)c1O	0.06	2633.798853110764
O=C(N[C@@H]1CC[C@H](CO)CC1)c1cc(-c2cccs2)on1	1.956	36796.59683741817
CCc1c(C(=O)Nc2cc(C)on2)cnn1-c1ccccc1	2.806	39447.28244872749
O=C(NC1CCC(=O)CC1)c1cc(-c2cccs2)on1	2.59	16768.794369329742
CCN1CCC[C@H]1CNC(=O)c1cc(S(C)(=O)=O)ccc1OC	-0.338	616.8836505153049
O=C(O)[C@H]1Cc2c3ccccc3[nH]c2[C@@H](c2ccc(F)cc2)N1	1.662	-42708.56579217546
COc1cccc(COC[C@@H](O)CN2CCC(C(=O)O)CC2)c1	0.744	-24278.90091391139
O=C(C1CCC(=O)CC1)N1CC(=O)N2CCc3ccccc3[C@@H]2C1	2.006	8999.501706722396
O=C(c1ccccc1Cl)N1CCN(c2ccccn2)CC1	1.038	3221.814379629359
COc1cc(Cc2cnc(N)nc2N)cc(Br)c1OC	1.776	30986.270999179425
O=C(N[C@H]1CC[C@H](NCCO)CC1)c1cc(-c2cccs2)on1	1.956	53658.1547729868
O=C(O)c1ccc(C(=O)CS(=O)(=O)c2ccccc2)cc1	2.208	28698.71420247503
COc1ccc(C(=O)Nc2cccc(C(N)=O)n2)cc1OC	3.228	-47965.75322235533
CCc1cccc2c3c([nH]c21)[C@@](CC)(CC(N)=O)OCC3	1.08	4497.968959705009
Cc1cc(CNC(=O)N2CCN(C(C)C)CC2)ccc1Cl	2.5	40860.985137412616
O=C(NC1CCS(=O)CC1)c1cc(-c2cccs2)on1	1.956	519.409727075501
O=C(O)c1cc(-c2ccncc2)nc2ccccc21	1.448	20720.49700005421
O=C(NC[C@@H]1CCCCN1)c1cc(O)ccc1OCC(F)(F)F	2.178	36724.398382751926
O=C(NC[C@H]1CCCCN1)c1cc(O)ccc1OCC(F)(F)F	2.178	86796.14712130201
C[C@@H]1CN(C(=O)c2ccncc2)c2ccccc2NC1=O	1.008	12828.28241702076
OC[C@H]1CC[C@H](Nc2ccc3nnc(-c4ccccc4)n3n2)CC1	3.426	29453.463861737662
Cc1sc2ncnc(SCC(=O)N3CCOCC3)c2c1C	2.64	-5921.1276450501755
O=C(NC1CC=CC1)c1cc(-c2cccs2)on1	1.956	7869.782991000953
C[C@H](CC(=O)NCCNCc1ccccc1)[C@@H]1CCCO1	0.9	-3690.9826962871593
COc1ccc(-c2nc(N3CCCC3)nc(O)c2C#N)cc1	1.722	21892.430393196537
COC(=O)c1ccc(C(=O)Nc2cc(OC)c(OC)c(OC)c2)cc1	2.934	27756.9311824034
COc1cc(/C=C2/SC(=S)NC2=O)ccc1C	1.902	-39148.64404191048
C[C@@H](CC(=O)NCc1ccc(C(=O)O)cc1)[C@@H]1CCCO1	1.924	75487.72403730992
C[C@H](CC(=O)NCc1ccc(C(=O)O)cc1)[C@@H]1CCCO1	1.924	9390.044047685784
O=S(=O)(c1cccc(-c2cn3cccnc3n2)c1)N1CCCCC1	1.872	506.6924611512286
CCOc1ccc2nc(NC(=O)CNC)sc2c1	2.614	5128.1461567049555
CC[C@H](C)NC[C@@H](O)COc1cccc2[nH]ccc21	0.638	6150.532759652797
Cc1ccc2c(c1)C(=O)N([C@H](C)C(=O)N1CCc3ccccc3C1)C2=O	1.686	-15903.871224927258
C[C@@H](NC(=O)OC(C)(C)C)C(=O)N[C@H](Cc1ccccc1)C(=O)O	0.89	-3637.120232392568
COc1cc(/C=C2\SC(=O)NC2=O)ccc1OC(C)C	1.902	-11030.68507401734
CC(C)[C@H](NC(=O)CCc1ccc(C(=O)O)cc1)C(=O)N1CCCC1	3.002	34439.33779347975
FC(F)(F)C(F)(F)c1nnc2ccc(-n3ccnc3)nn21	2.614	-7931.1864243296
CC(C)[C@H](NC(=O)CCc1ccccc1)C(=O)N1CCOCC1	1.862	-11372.84142581564
COc1cc(/C=C2/SC(=O)NC2=O)ccc1OC(C)C	1.902	6839.4545516622165
CC(C)N1[C@H]2CC[C@H]1CC(OC(=O)[C@H](CO)c1ccccc1)C2	-0.076	-5177.586638400746
CCOCCOCc1ccc(OC[C@@H](O)CNC(C)C)cc1	0.376	19473.34998762438
COC(=O)N1CCN(C(=O)c2cc3cc(OC)ccc3[nH]2)CC1	2.2	51067.37540716675
O=C(NNC(=O)c1cc(-c2cccs2)on1)NC1CC1	1.956	101311.74518696655
COc1ccc(/C=C2\SC(=S)NC2=O)cc1OC(F)F	1.902	33583.70619565809
O=C(c1cccc(Cl)c1O)N1CCN(c2ccccn2)CC1	1.156	5744.435938795701
O=C(COc1ccccc1O)NC1CCC(O)CC1	1.64	2684.4405553434044
O=C(CNC(=O)c1ccccc1)NCCCCc1ccccc1	2.732	6568.406081388201
O=C(NCCCCc1ccccc1)c1ccncc1	2.712	4110.129214028333
O=C(O)[C@@H]1[C@H](O)CC[C@@H]2CN3CCc4c5ccccc5[nH]c4[C@H]3C[C@H]21	1.334	32107.09500889192
O=S(=O)(NC[C@H](c1ccccc1)N1CCOCC1)c1cccnc1	3.27	-35690.01050850456
O=S(=O)(NC[C@H](c1ccc(F)cc1)N1CCCC1)c1cccnc1	2.98	17215.102308577596
O=S(=O)(NC[C@@H](c1ccccc1)N1CCOCC1)c1cccnc1	3.27	71797.46659595342
COc1ccc(-c2nc(N3CCCCC3)nc(O)c2C#N)cc1	1.722	57791.61281835736
C[C@H](C(=O)O)C(=O)Nc1ccc([N+](=O)[O-])c(C(F)(F)F)c1	1.7	-37991.831014697615
CC(C)(C)OC(=O)N[C@H](Cc1ccccc1)C(N)=O	1.084	83356.58940836633
CCCN(CCO)CC(=O)Nc1c(C#N)cnn1-c1ccccc1	0.98	27423.769817930064
NC(=O)CN[C@H]1CC[C@H](NC(=O)c2cc(-c3cccs3)on2)CC1	1.358	-10048.394014417045
CCOc1ccc2nc(NC(=S)NC(=O)CC)sc2c1	2.614	48709.58860504351
O=C(N[C@H]1CC[C@H](O)CC1)N1CCN(c2ccccc2Cl)CC1	2.882	33368.802784310064
COc1cccc(COC[C@H](O)CN2CCC(CC(N)=O)CC2)c1	0.514	2615.002926514331
COC(=O)c1cc([C@H](O)CN[C@@H](C)CCc2ccccc2)ccc1O	0.342	11057.863061994993
CO[C@@H](C)C(=O)N[C@H]1CC[C@H](CNC(=O)c2cc(C)c(C)cn2)CC1	2.196	55390.460507561205
Cn1nnc(CNCC2CCN(C(=O)OCc3ccccc3)CC2)n1	2.372	-2004.7188830689447
CCO[C@@H]1C[C@@H]1NC(=O)NC[C@@H](c1ccc(OC)cc1)N1CCCC1	2.014	74228.439567396
COc1ccc(COC[C@@H](O)CN2CC[C@@H](OC)C(C)(C)C2)cc1	1.008	27093.10049846605
COCC[C@H](NC(=O)c1cc2cc(Cl)ccc2[nH]1)C(=O)O	3.456	67101.61976823283
O=C(N[C@@H]1CCCCN(C(=O)c2cc[n+]([O-])cc2)C1)c1ccccc1	1.626	10889.302581076669
Cc1ccc(C(=O)NC[C@H]2CC[C@H](NC(=O)c3cn[nH]c3)CC2)cn1	2.21	12016.592746211889
Cc1cccnc1NC(=O)Nc1ccc(OC[C@H](O)CN(C)C)cc1	1.986	-19037.393836103365
O=C(C#Cc1ccc2c(c1)OCO2)Nc1ccc(-n2ccnc2)nc1	3.134	151314.99659864424
O=C(N[C@H]1CCCNCC1)c1cc(Cl)nc(N2CCCC2)c1	1.71	10338.082704680115
COc1cc(CNC(=O)c2cnn[nH]2)ccc1OCc1cccnc1	2.208	3453.541456292929
NC[C@@H]1CCCN(C(=O)C(=O)Nc2cccc(Cl)c2)C1	2.848	70911.87797008996
O=C(N[C@H](CO)c1ccccc1)N[C@@H]1CCN(Cc2ccccc2)C1	1.448	61121.1119829196
O=C(NC1CC1)c1ccc(-c2ccc(CO)c(F)c2F)nc1	1.858	15489.789479205698
CCN(CC)[C@@H]1CCN(CCC(=O)NC(=O)NCc2ccccc2)C1	2.35	20299.186227719212
C=CCCC(=O)N1CCN(Cc2ccc(OC)c(Cl)c2)CC1	2.942	8434.758065607639
C[C@H]1C[C@H]1Cc1nc(CC(=O)Nc2cccc3ncccc32)no1	2.234	41943.572277340805
CCCN1CCC[C@H]1CNC(=O)C(=O)c1ccccc1OC	0.06	-9248.680928877018
CCn1ccc(CNCCCNC(=O)C[C@@H](C)[C@@H]2CCCO2)n1	1.734	32381.897508290076
COC(=O)c1n[nH]c(C)c1NC(=O)Cc1ccc2ccccc2c1	2.614	34273.37077553118
CC[C@H](C)C(=O)N[C@@H]1CCCN(C(=O)COCc2ccncc2)CC1	2.848	48755.113410748236
COc1ccc(N2CCCN(C(=O)[C@H]3CCC(=O)C[C@@H]3C)CC2)cc1	1.596	22566.607091718084
O=C(c1cc[nH]n1)N1CC[C@@]2(CCN(Cc3ccccc3)C2)C1	0.75	60621.16638921974
COCCC(=O)N[C@H]1CCN(CCc2ccccc2)C1	2.086	-26118.565107048533
N[C@H]1CC[C@@H](C(=O)N[C@H]2CCCN(Cc3ccccc3)C2)CC1	1.94	12811.613561999031
Cc1ccnc(O[C@H]2CCN(Cc3cccc(C(N)=O)c3)C2)n1	1.378	23558.443421769938
Cc1cc(NC(=O)c2ccc(C(F)(F)F)nc2C)c(C(=O)O)[nH]1	1.872	22889.395039593655
CN(C)C1(C(=O)N[C@@H]2CCN(Cc3ccccc3)C2)CCC1	1.54	24673.910440325555
COc1cccc(C(=O)NCCCN[C@@H](C)c2ncccn2)c1	2.966	537.8657309048722
Cc1noc([C@H]2CCCN(C(=O)c3ccc4[nH]ccc4c3)C2)n1	2.616	-5485.760732889117
C[C@@H]1CCN(C(=O)C(=O)N[C@@H]2CCCN(C(=O)c3ccccc3)C2)C1	2.164	-27882.99814910987
Cc1ccc(CS(=O)(=O)N2CCN(CCC(=O)O)C[C@H]2C)cc1	1.226	22641.68518935521
COc1cccc(C(=O)NCCOc2ncccc2Cl)c1	3.25	49371.481414719005
CCc1ccc(CN2CCC(N(C)C(=O)Cc3cnoc3)CC2)cc1	2.84	-42328.93711079926
Nc1nccc(C(=O)NCC23CC4CC(CC(C4)C2)C3)c1[N+](=O)[O-]	4.028	30958.74767761494
CN(C(=O)c1ccncc1)[C@H]1CCCN(C[C@@H]2CCCOC2)CC1	1.64	46831.86862642816
COCCOc1ccc(C(=O)Nc2ccc3c[nH]nc3c2)cc1	1.892	45368.45871751626
CC(=O)Nc1nc(C)c(S(=O)(=O)Nc2cnn(C)c2C)s1	0.758	-4896.908638866889
C[C@@H](CC(=O)NCC1(NCc2ccon2)CCCCC1)[C@@H]1CCCO1	1.248	30623.403763490336
COc1ccc(COC[C@@H](O)CN2CCC(OCC3CC3)CC2)cc1	1.086	24327.692868354618
O=c1[nH]c2ccccc2n1CCCN1CCC[C@@H](CO)C1	2.252	110710.4764467713
